Name,Constituency,State,Party,debate,bill,questions,attendance,
Hiten Barman,Cooch Behar,West Bengal,All India Forward Bloc,21,0,419,0.68,
Narahari Mahato,Purulia ,West Bengal,All India Forward Bloc,1,0,156,0.66,
Subrata Bose,Barasat,West Bengal,All India Forward Bloc,29,0,356,0.88,
Asaduddin Owaisi,Hyderabad,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimmen,51,0,985,0.74,
Mamata Banerjee,Calcutta South,West Bengal,All India Trinamool Congress,32,0,0,0.18,
Arun Kumar Sarma,Lakhimpur,Assam,Asom Gana Parishad,74,0,403,0.72,
Sarbananda Sonowal,Dibrugarh,Assam,Asom Gana Parishad,62,0,118,0.57,
Akbar Ahmad Dumpy,Azamgarh,Uttar Pradesh,Bahujan Samaj Party,0,0,0,0.73,
Anil Shukla Warsi,Bilhaur ,Uttar Pradesh,Bahujan Samaj Party,2,0,8,0.48,
Ashok Kumar Rawat,Misrikh,Uttar Pradesh,Bahujan Samaj Party,3,0,261,0.62,
Bhai Lal,Robertsganj ,Uttar Pradesh,Bahujan Samaj Party,1,0,18,0.80,
Bhishma Shankar,Khalilabad,Uttar Pradesh,Bahujan Samaj Party,0,0,0,0.58,
Brajesh Pathak^,Unnao,Uttar Pradesh,Bahujan Samaj Party,57,7,741,0.74,
Iliyas Azmi,Shahabad,Uttar Pradesh,Bahujan Samaj Party,79,0,84,0.80,
Kailash Nath Singh Yadav,Chandauli,Uttar Pradesh,Bahujan Samaj Party,2,0,333,0.50,
Kamla Prasad Rawat,Barabanki,Uttar Pradesh,Bahujan Samaj Party,7,0,180,0.46,
Lal Mani Prasad,Basti,Uttar Pradesh,Bahujan Samaj Party,18,0,33,0.70,
Mahendra Prasad Nishad,Fatehpur,Uttar Pradesh,Bahujan Samaj Party,16,0,70,0.56,
Mitrasen Yadav,Faizabad,Uttar Pradesh,Bahujan Samaj Party,45,0,135,0.57,
Mohammad Tahir Khan,Sultanpur,Uttar Pradesh,Bahujan Samaj Party,16,0,426,0.61,
Mohammed Muqueem,Domariaganj,Uttar Pradesh,Bahujan Samaj Party,9,0,183,0.78,
Mohammed Shahid^,Meerut,Uttar Pradesh,Bahujan Samaj Party,5,0,134,0.36,
Rajesh Verma,Sitapur,Uttar Pradesh,Bahujan Samaj Party,16,0,64,0.74,
Ramesh Dube,Mirzapur ,Uttar Pradesh,Bahujan Samaj Party,10,0,40,0.82,
Umakant Yadav,Machhlishahr,Uttar Pradesh,Bahujan Samaj Party,0,0,2,0.41,
Adityanath Yogi,Gorakhpur,Uttar Pradesh,Bharatiya Janata Party,66,4,140,0.60,
Anant Kumar Hegde,Kanara,Karnataka,Bharatiya Janata Party,0,2,20,0.61,
Ananta Nayak,Keonjhar,Orissa,Bharatiya Janata Party,26,0,677,0.72,
Ananth Kumar,Bangalore South,Karnataka,Bharatiya Janata Party,46,0,85,0.71,
Anurag Singh Thakur ,Hamirpur,Himachal,Bharatiya Janata Party,5,0,18,0.89,
Ashok Argal,Morena,Madhya Pradesh,Bharatiya Janata Party,24,0,101,0.86,
Ashok Kumar Pradhan,Khurja,Uttar Pradesh,Bharatiya Janata Party,12,0,0,0.76,
Atal Bihari Vajpayee,Lucknow,Uttar Pradesh,Bharatiya Janata Party,7,0,0,0.06,
Avinash Rai Khanna,Hoshiarpur,Punjab,Bharatiya Janata Party,110,0,277,0.80,
Babubhai Khimabhai Katara^,Dohad,Gujarat,Bharatiya Janata Party,0,0,0,0.40,
Bachi Singh Rawat,Almora,Uttrakhand,Bharatiya Janata Party,84,20,172,0.85,
Baliram Kashyap,Bastar,Chhattisgarh,Bharatiya Janata Party,0,0,0,0.30,
Basangouda Patil,Bijapur,Karnataka,Bharatiya Janata Party,1,0,3,0.32,
Bhanu Pratap Singh Verma,Jalaun,Uttar Pradesh,Bharatiya Janata Party,102,0,123,0.90,
Bhanwar Singh Dangawas,Nagaur,Rajasthan,Bharatiya Janata Party,38,0,15,0.94,
Bhupendrasinh Prabhatsinh Solanki,Godhra,Gujarat,Bharatiya Janata Party,4,0,225,0.75,
Bikram Keshari Deo,Kalahandi,Orissa,Bharatiya Janata Party,100,0,57,0.83,
Brij Bhushan Sharan Singh^,Balrampur,Uttar Pradesh,Bharatiya Janata Party,2,0,61,0.73,
C.H. Vijayashankar,Mysore,Karnataka,Bharatiya Janata Party,5,0,34,0.40,
Chandrabhan Bhaiya Singh^,Damoh,Madhya Pradesh,Bharatiya Janata Party,14,0,208,0.69,
Chandramani Tripathi,Rewa,Madhya Pradesh,Bharatiya Janata Party,50,0,374,0.75,
Chhatar Singh Darbar,Dhar,Madhya Pradesh,Bharatiya Janata Party,6,0,58,0.76,
D.C. Srikantappa^,Chikmagalur,Karnataka,Bharatiya Janata Party,0,0,1,0.52,
D.V. Sadananda Gowda,Mangalore,Karnataka,Bharatiya Janata Party,18,0,134,0.43,
Dalpat Singh Paraste,Shahdol,Madhya Pradesh,Bharatiya Janata Party,1,0,478,0.59,
Dhan Singh Rawat,Banswara,Rajasthan,Bharatiya Janata Party,4,0,13,0.56,
Dharmendra,Bikaner,Rajasthan,Bharatiya Janata Party,0,0,0,0.24,
Dharmendra Pradhan,Deogarh,Orissa,Bharatiya Janata Party,53,0,167,0.69,
Digamber Bapuji Patil,Nanded,Maharashtra,Bharatiya Janata Party,0,0,29,0.32,
Dushyant Singh,Jhalawar,Rajasthan,Bharatiya Janata Party,46,0,604,0.63,
Faggan Singh Kulaste,Mandla,Madhya Pradesh,Bharatiya Janata Party,8,0,59,0.56,
Ganesh Singh,Satna,Madhya Pradesh,Bharatiya Janata Party,89,0,435,0.71,
Gauri Shankar Chaturbhuj Bisen^,Balaghat,Madhya Pradesh,Bharatiya Janata Party,14,0,18,0.43,
Girdhari Lal Bhargav,Jaipur,Rajasthan,Bharatiya Janata Party,153,0,220,0.90,
Gowdar Mallikarjunappa Siddeswara,Davangere,Karnataka,Bharatiya Janata Party,12,0,623,0.48,
Guharam Ajgalley,Sarangarh,Chhattisgarh,Bharatiya Janata Party,4,0,3,0.61,
H.T. Sangliana^,Bangalore North,Karnataka,Bharatiya Janata Party,4,0,11,0.79,
Hansraj Gangaram Ahir,Chandrapur,Maharashtra,Bharatiya Janata Party,105,17,854,0.66,
Haribhau Madhav Jawale,Jalgaon,Maharashtra,Bharatiya Janata Party,10,0,14,0.77,
Harilal Madhavjibhai Patel,Porbandar,Gujarat,Bharatiya Janata Party,0,0,35,0.68,
Harin Pathak,Ahmedabad,Gujarat,Bharatiya Janata Party,40,0,106,0.79,
Harischandra Deoram Chavan,Malegaon,Maharashtra,Bharatiya Janata Party,11,0,247,0.55,
Harisingh Nasaru Rathod^,Yavatmal,Maharashtra,Bharatiya Janata Party,90,2,353,0.67,
Hemant Khandelwal,Betul,Madhya Pradesh,Bharatiya Janata Party,0,0,6,0.69,
Jaswant Singh Bishnoi,Jodhpur,Rajasthan,Bharatiya Janata Party,42,0,307,0.75,
Jayaben B. Thakkar,Baroda,Gujarat,Bharatiya Janata Party,72,0,439,0.65,
Jual Oram,Sundargarh,Orissa,Bharatiya Janata Party,27,0,648,0.69,
Kailash Joshi,Bhopal,Madhya Pradesh,Bharatiya Janata Party,5,0,23,0.75,
Kailash Meghwal,Tonk,Rajasthan,Bharatiya Janata Party,17,0,627,0.92,
Kalyan Singh,Bulandshahr,Uttar Pradesh,Bharatiya Janata Party,2,0,0,0.49,
Karuna Shukla,Janjgir,Chhattisgarh,Bharatiya Janata Party,37,1,155,0.73,
Karunakara G. Reddy^,Bellary,Karnataka,Bharatiya Janata Party,47,0,975,0.56,
Kashi Ram Rana,Surat,Gujarat,Bharatiya Janata Party,44,12,499,0.78,
Kiran Maheshwari^,Udaipur,Rajasthan,Bharatiya Janata Party,52,0,314,0.67,
Kiren Rijiju,Arunachal West,Arunachal Pradesh,Bharatiya Janata Party,91,3,252,0.85,
Kishan Lal Diler^,Hathras,Uttar Pradesh,Bharatiya Janata Party,2,0,2,0.92,
Kishan Singh Sangwan,Sonepat,Haryana,Bharatiya Janata Party,48,0,38,0.89,
Kunnur Manjunath Channappa^,Dharwad South,Karnataka,Bharatiya Janata Party,51,0,156,0.71,
Lakshman Singh,Rajgarh,Madhya Pradesh,Bharatiya Janata Party,44,0,51,0.74,
Lal Krishna Advani,Gandhinagar,Gujarat,Bharatiya Janata Party,55,0,0,*,
Lalmuni Chaubey,Buxar,Bihar,Bharatiya Janata Party,5,0,1,0.93,
Laxminarayan Pandey,Mandsaur,Madhya Pradesh,Bharatiya Janata Party,56,1,446,0.85,
M.A. Kharabela Swain,Balasore,Orissa,Bharatiya Janata Party,110,0,35,0.85,
Maha Deo Rao Shiwankar,Chimur,Maharashtra,Bharatiya Janata Party,49,4,867,0.59,
Mahavir Bhagora,Salumber,Rajasthan,Bharatiya Janata Party,23,0,326,0.87,
Mahesh Kumar Kanodia,Patan,Gujarat,Bharatiya Janata Party,10,0,219,0.58,
