MP name,Nature of membership,Start of term,End of term,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Elavarasan,Elected,25-Jul-07,In office,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,,55,33,0,473,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
A. Vijayaraghavan,Elected,03-Apr-04,02-04-2010,Kerala,Communist Party of India (Marxist),Male,Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode ",56,12,0,82,0.74," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8.3,0.2,62,77%,9,0,90,70%
A. W. Rabi Bernard,Elected,19-Jul-11,In office,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Edit the detail,62,10,0,8,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",11.6,0.3,85,77%,13.3,0.3,100,70%
A.A. Jinnah,Elected,03-Apr-08,In office,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Law College, Chennai (Tamil Nadu) ",71,12,0,92,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
A.V. Swamy,Elected,04-Apr-12,In office,Orissa,Independent,Male,Information not available,,Information not available,1,0,1,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.1,0.3,26,82%
Aayanur Manjunath,Elected,01-Jul-10,In office,Karnataka,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B.; Educated at Sahyadri College and National College of Law, Shimoga",56,1,0,26,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,11,0.8,73,69%
Abani Roy,Elected,19-Aug-05,18-08-2011,West Bengal,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Intermediate (in Science) Educated at Raisina Bengali Higher Secondary School, New Delhi and City-College, Ram Mohan Roy Sarani, Kolkata ",73,9,0,0,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.5,0.6,141,77%,29.6,0.4,103,77%
Abdul Wahab Peevee,Elected,03-Apr-04,02-04-2010,Kerala,Muslim League Kerala State Committee,Male,Graduate,"Educated at Government Manavedan High School, Nilambur and MES College, Mampad, Kerala",62,3,0,33,0.29," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8.3,0.2,62,77%,9,0,90,70%
Abhishek Manu Singhvi,Elected,04-Apr-12,In office,Rajasthan,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A. ",53,5,1,25,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,30.5,0.4,314,81%
Ahmad Saeed Malihabadi,Elected,03-Apr-08,In office,West Bengal,Independent,Male,Graduate,"After school completed education at Madrasah Islah and Darul Musanafeen (Shibli Academy), Azamagarh",81,15,0,21,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,44.3,0.4,138,77%
